CustomerID,TransactionAfterStartDate(Days),RecentTransaction,TotalTransactions,CustomerLife(Days),DaysSinceLastTransaction,AvgDaysBetweenTransactions,AvgTransactionsPerMonth,AvgTransactionValue,MaxTransactionValue,MinTransactionValue,Revenue,ActiveMonths,InactiveMonths,NoOfWeekendTransactions,NoOfWeekdayTransactions,MaxGapBetweentransactions,Churner
12347,6,2011-12-07 15:52:00,7,365,1,60.833333333333336,1.0,23.681318681318682,249.60000000000002,5.04,4310.0,7,6,0.0,7.0,90,False
12348,15,2011-09-25 13:13:00,4,282,74,94.0,1.0,53.23111111111111,150.0,13.200000000000001,1437.24,4,9,1.0,3.0,173,False
12362,78,2011-12-06 15:40:00,10,292,2,32.44444444444444,1.25,18.5048046875,59.9,2.88,4737.23,8,5,0.0,10.0,70,False
12370,13,2011-10-19 14:51:00,4,309,50,103.0,1.3333333333333333,20.739030303030304,163.2,1.25,3421.94,3,10,0.0,4.0,223,False
12395,2,2011-11-20 15:21:00,12,351,18,31.90909090909091,1.5,18.629375,76.5,2.5,2682.63,8,5,1.0,11.0,55,False
12415,36,2011-11-15 14:22:00,20,313,23,16.473684210526315,2.0,175.50876923076925,1718.4,0.42,125488.77,10,3,0.0,20.0,75,False
12417,16,2011-12-06 14:52:00,9,354,2,44.25,1.125,17.62896174863388,59.8,4.5600000000000005,3226.1,8,5,1.0,8.0,67,False
12423,20,2011-12-09 10:10:00,8,352,0,50.285714285714285,1.0,13.968461538461538,42.96,4.68,1634.31,8,5,0.0,8.0,100,False
12427,2,2011-11-18 08:56:00,3,349,21,174.5,1.0,24.99285714285714,68.0,12.48,699.8,3,10,0.0,3.0,311,False
12429,8,2011-11-30 17:22:00,4,356,8,118.66666666666667,1.0,36.0468085106383,183.60000000000002,4.68,3388.4,4,9,0.0,4.0,163,False
12431,0,2011-11-04 11:55:00,15,338,35,24.142857142857142,1.875,27.20991416309013,601.44,5.04,6339.91,8,5,2.0,13.0,73,False
12433,0,2011-12-09 10:02:00,7,372,0,62.0,1.4,31.847309523809525,203.52,2.88,13375.87,5,8,0.0,7.0,274,False
12437,42,2011-12-08 11:35:00,18,329,1,19.352941176470587,1.8,24.17070652173913,131.39999999999998,4.68,4447.41,10,3,0.0,18.0,79,False
12471,9,2011-12-07 15:43:00,27,362,1,13.923076923076923,2.25,39.700114155251136,876.0,5.04,17388.649999999998,12,1,0.0,27.0,55,False
12472,4,2011-11-07 14:01:00,7,336,31,56.0,1.0,18.277439759036145,85.92,2.88,6068.11,7,6,2.0,5.0,88,False
12474,44,2011-11-22 14:39:00,18,312,16,18.352941176470587,2.0,16.487906403940887,70.2,2.2800000000000002,6694.09,9,4,1.0,17.0,50,False
12476,12,2011-11-24 12:40:00,11,345,15,34.5,1.2222222222222223,26.332232142857144,119.6,3.95,5898.42,9,4,0.0,11.0,77,False
